,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
44571,6130,SKLT,medium_airport,Alfredo Vásquez Cobo International Airport,-4.19355,-69.9432,277.0,SA,CO,CO-AMA,Leticia,yes,SKLT,LET,LET,,http://en.wikipedia.org/wiki/V%C3%A1squez_Cobo_International_Airport,
44573,6132,SKMD,medium_airport,Enrique Olaya Herrera Airport,6.220549,-75.590582,4949.0,SA,CO,CO-ANT,Medellín,yes,SKMD,EOH,EOH,,http://en.wikipedia.org/wiki/Enrique_Olaya_Herrera_International_Airport,
44576,6134,SKMG,medium_airport,Baracoa Airport,9.28474,-74.8461,178.0,SA,CO,CO-BOL,Magangué,no,SKMG,MGN,MGN,,http://en.wikipedia.org/wiki/Baracoa_Regional_Airport,
44581,6138,SKMR,medium_airport,Los Garzones Airport,8.823739999999999,-75.8258,36.0,SA,CO,CO-COR,Montería,yes,SKMR,MTR,MTR,,http://en.wikipedia.org/wiki/Los_Garzones_Airport,
44582,6139,SKMU,medium_airport,Fabio Alberto Leon Bentley Airport,1.25366,-70.2339,680.0,SA,CO,CO-VAU,Mitú,yes,SKMU,MVP,MVP,,http://en.wikipedia.org/wiki/Fabio_Alberto_Le%C3%B3n_Bentley_Airport,
44583,6140,SKMZ,medium_airport,La Nubia Airport,5.0296,-75.4647,6871.0,SA,CO,CO-CAL,Manizales,yes,SKMZ,MZL,MZL,,http://en.wikipedia.org/wiki/La_Nubia_Airport,
44586,6141,SKNV,medium_airport,Benito Salas Airport,2.95015,-75.294,1464.0,SA,CO,CO-HUI,Neiva,yes,SKNV,NVA,NVA,,http://en.wikipedia.org/wiki/Benito_Salas_Airport,La Manguita
44587,6142,SKOC,medium_airport,Aguas Claras Airport,8.31506,-73.3583,3850.0,SA,CO,CO-NSA,Ocaña,no,SKOC,OCV,OCV,,http://en.wikipedia.org/wiki/Aguas_Claras_Airport,
44594,6146,SKPC,medium_airport,German Olano Airport,6.1847199999999996,-67.4932,177.0,SA,CO,CO-VID,Puerto Carreño,yes,SKPC,PCR,PCR,,http://en.wikipedia.org/wiki/Germ%C3%A1n_Olano_Airport,Puerto Carreño Airport
44595,6147,SKPD,medium_airport,Obando Airport,3.85353,-67.9062,460.0,SA,CO,CO-GUA,Puerto Inírida,yes,SKPD,PDA,PDA,,http://en.wikipedia.org/wiki/Obando_Airport,
44596,6148,SKPE,medium_airport,Matecaña International Airport,4.81267,-75.7395,4416.0,SA,CO,CO-RIS,Pereira,yes,SKPE,PEI,PEI,,http://en.wikipedia.org/wiki/Mateca%C3%B1a_International_Airport,
44598,6149,SKPI,medium_airport,Pitalito Airport,1.8577700000000001,-76.0857,4212.0,SA,CO,CO-HUI,Pitalito,no,SKPI,PTX,,,,
44601,6151,SKPP,medium_airport,Guillermo León Valencia Airport,2.4544,-76.6093,5687.0,SA,CO,CO-CAU,Popayán,yes,SKPP,PPN,PPN,,http://en.wikipedia.org/wiki/Guillermo_Leon_Valencia_Airport,
44602,6152,SKPQ,medium_airport,German Olano Air Base,5.48361,-74.6574,566.0,SA,CO,CO-CUN,La Dorada,no,SKPQ,PAL,PQE,,http://en.wikipedia.org/wiki/Captain_Germ%C3%A1n_Olano_Moreno_Air_Base,Palanquero Airport
44604,6154,SKPS,medium_airport,Antonio Narino Airport,1.39625,-77.2915,5951.0,SA,CO,CO-NAR,Pasto,yes,SKPS,PSO,PSO,,http://en.wikipedia.org/wiki/Antonio_Nari%C3%B1o_Airport,
44605,6155,SKPV,medium_airport,El Embrujo Airport,13.3569,-81.3583,10.0,SA,CO,CO-SAP,Providencia,yes,SKPV,PVA,PVA,,http://en.wikipedia.org/wiki/El_Embrujo_Airport,
44606,6156,SKPZ,medium_airport,Paz De Ariporo Airport,5.87615,-71.8866,900.0,SA,CO,CO-CAS,Paz De Ariporo,no,SKPZ,PZA,PZA,,,
44607,6157,SKQU,medium_airport,Mariquita Airport,5.21256,-74.8836,1531.0,SA,CO,CO-TOL,Mariquita,no,SKQU,MQU,MQU,,http://en.wikipedia.org/wiki/Mariquita_Airport,
44608,6158,SKRG,medium_airport,Jose Maria Córdova International Airport,6.164540000000001,-75.4231,6955.0,SA,CO,CO-ANT,Medellín,yes,SKRG,MDE,MDE,,http://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_C%C3%B3rdova_International_Airport,
44609,6159,SKRH,medium_airport,Almirante Padilla Airport,11.5262,-72.926,43.0,SA,CO,CO-LAG,Riohacha,yes,SKRH,RCH,RCH,,http://en.wikipedia.org/wiki/Riohacha_Airport,
44614,6160,SKSJ,medium_airport,Jorge E. Gonzalez Torres Airport,2.5796900000000003,-72.6394,605.0,SA,CO,CO-GUV,San José Del Guaviare,yes,SKSJ,SJE,SJE,,http://en.wikipedia.org/wiki/Jorge_Enrique_Gonz%C3%A1lez_Torres_Airport,
44616,6161,SKSM,medium_airport,Simón Bolívar International Airport,11.1196,-74.2306,22.0,SA,CO,CO-MAG,Santa Marta,yes,SKSM,SMR,SMR,,http://en.wikipedia.org/wiki/Sim%C3%B3n_Bol%C3%ADvar_International_Airport_(Colombia),
44618,6163,SKSP,medium_airport,Gustavo Rojas Pinilla International Airport,12.5836,-81.7112,19.0,SA,CO,CO-SAP,San Andrés,yes,SKSP,ADZ,ADZ,,http://en.wikipedia.org/wiki/Gustavo_Rojas_Pinilla_International_Airport,
44620,6164,SKSV,medium_airport,Eduardo Falla Solano Airport,2.15217,-74.7663,920.0,SA,CO,CO-CAQ,San Vicente Del Caguán,yes,SKSV,SVI,SVI,,http://en.wikipedia.org/wiki/Eduardo_Falla_Solano_Airport,
44624,6167,SKTJ,medium_airport,Tunja Airport,5.54138,-73.3445,8940.0,SA,CO,CO-BOY,Tunja,no,SKTJ,,,,,
44626,6168,SKTM,medium_airport,Gustavo Vargas Airport,6.45108,-71.7603,1050.0,SA,CO,CO-ARA,Tame,yes,SKTM,TME,TME,,http://en.wikipedia.org/wiki/Gabriel_Vargas_Santos_Airport,
44627,6169,SKTQ,medium_airport,Tres Esquinas Air Base,0.7459,-75.234,585.0,SA,CO,CO-CAQ,Tres Esquinas,no,SKTQ,TQS,TQS,,,
