,Sentence
276,comfortable flight good selection entertainment english bengali decent leg room definitely worth paying 5 usd get free seat next flight long
277,came 13 hours air comfortable throughout entire flight
278,food rather nice something expect
279,flown many times blue1 cabin crew helpful friendly
280,planes good standard good leg room
281,addition checkin routines fast efficient matter
282,flew aberdeen esbjerg 03022015 flight delayed 45min snow deicing aircraft bmi fault made time offered drink food
283,flight back 06022015 time flight 20 people snacks box drink served
284,good flight bit expensive company paying
285,✅ trip verified flight delayed almost two hours nice gave us boeing 747400 old boac retro colours seats wide comfortable plenty storage ife average food good generous portions stood high level service friendliness
286,everything british airways flight london gatwick paphos excellent checked airport day took 5 minutes day fast track security minutes lounge
287,read reviews must struck lucky sat library oasis calm service bar prompt food good good old ba lounge better
288,boarding quick efficient took minutes late crew friendly efficient drinks service good food choices tasty landed time passport baggage within 20 minutes great start holiday
289,british airways domestic economy london heathrow edinburgh basically option many routes check t5 quick frequent flier status downgraded however still weeks availed fast track security used ba t5 north lounge
290,boarding a5 quick full flight departed time board service okay 1hr flight
291,drinks snack served arrival almost time
292,return early flight quick bag drop security bit slow otherwise used ba lounge boarding full 767 departed time arrived early service okay breakfast served drinks although crew missed appeared grumpy later asked coffee
293,okay service expensive booked short notice gets b quickly
294,full flight efficient boarding friendly greeting purser
295,flight crew kept us updated hold efficient adequate inflight service short domestic flight cabin interior immaculate
296,checked baggage plane tube 7 minutes
297,fralhr a319 sat plane gate almost 40 minutes due one runway closed drinks offered
298,veg meal wife empty bottle middle seat tray
299,landed allegedly almost time due excessive time scheduled leg
300,gatwick florida return flight quite good attentive crew 3 choices meals found seatback tv screen small selection movies audio choice poor legroom could lot better feel ba need update b777 route
301,return flight delayed two hours informed airline text email checkin 9 vouches given buy drinks snack found food return flight poor chicken pasta available breakfast consisted stale croissant jam raisin bar virtually indelible would consider flying ba florida prices comparable carriers
302,brilliant service cabin crew captainfirst officer much delayed lisbonlhr flight
303,ba questions answer another lisbonlhr flight heavily delayed happens regularly another ba flight lisbon remote boarding location poor management prior boarding
304,two hour delay boarded handled brilliantly crew regular communication refreshments jovial atmosphere possible
305,ba must face astonishingly poor lounge lisbon poor management boarding limp response questions
306,flight ba 677 istanbul london heathrow club europe great flight wonderful crew club europe excellent service members crew updates warm welcome name
307,meal good indeed great choice meals choose
308,throughout flight crew professional quick serve meal clear away meal items
309,although 767 showing signs age much prefer aircraft old style club europe seats compared new club europe rolled ba one likes
310,wonderful flight great service could ask great crew ask keep 767 go back old club europe
311,lhrsoflhr seat 1a upgraded a320 directions check t5 quick galleries lounge fine always
312,departed time breakfast served pretty nice crew much room really business class appears getting less
313,return check quick although security sofia slow lounge worth using
314,flight delayed around hour due weather away decent meal served yet another nice crew landed around 30 min late remote stand bags belt time reached
315,lhrsoflhr 27th feb2nd mar seat a1 a320 directions check t5 quick used ba galleries south lounge good ever
316,boarding time departure arrival new business seats aircraft comfortable enough
317,food breakfast crew outbound good bags waiting immigration sofia
318,return check quick although security check slow lounge sofia dreadfully dull facilities food drinks passengers would better using general airport facilities
319,departure almost hour late arrival due weather heathrow
320,otherwise crew great lunch served
321,lpt lhr back found planes new good conditions fantastic crew always asking need something fly ba certain
322,flew london heathrow singapore business class first time ba impressed cabin crew bare minimum could get away seating arrangement could get head around thank goodness changed seats prior flight sat 2 outer seats ok though bit narrow felt sorry people sat middle seats face strangers take landing fly long haul route 4 times year quite honestly say experience ba would wish fly
323,comfortable return flight hannover club europe
324,a319 appeared new good food short flight good value
325,flew lcy mad business 3 people cabin 12 welcome pre take drinks poor service awful food warm drinks turbulence got air dealt well
326,overall poor service
327,pleasant quick 40 minutes hop heathrow brussels seated rows 1a 1c greeted friendly staff served glass champagne takeoff take time inflight service acceptable continental breakfast short flight champagne better option vegetarians special breakfast fruit plate
328,friendly discreet non intrusive service good landed brussels 10 minutes ahead schedule
329,flew hcmc siem reap return quiet flights better expected although received bottle water guess usual short flights like one
330,crew friendly
331,✅ trip verified san francisco hyderabad via via hong kong slight delay apologized nicely got onboard cx879 hong kong hospitality got even nicer flight attendants stowed luggage overhead compartments
332,nice airline
333,✅ trip verified cathay pacific airways favorite airline 8 fights per day bangkok hong kong cx however sometimes old aircraft comfortable seat
334,cabin crew kind helpful served häagendaz icecream flight
335,✅ verified review late departure sin 8pm flight meant late arrival hkg caused problems otherwise satisfactory flight ticked boxes
336,professional attentive service inflight meal met expectations business class
337,complaints late arrival missing last aex train
338,melmnlmel via hkg a330300 aircraft good service leg time flight attendants attentive food ok inflight entertainment superb would definitely recommend fly
339,return trip jfk bangkok via hong kong one best flying experiences
340,new flat bed seats comfortable sit lie easy function choice wines limited top drawer flight crew four sectors neither slack top
341,long flights always important arrive ends relaxed frame mind really think cathay got business class great order using whenever
342,cx724 kulhkg 7th july part ba ticket check kl quick easy used mh lounge nice time shower
343,seat 40k 777300 like business airlines europe 3hr 30min flight service friendly crew food good time departure arrival good flight would use cx anytime
344,last year flew sydney hong kong flight delayed 2 hours wasnt bad
345,onboard flight food good economy class ticket seats comfortable entertainment excellent
346,flight attendants nice pleasant helpful
347,overall flight good pleasant would recommend anyone whos deciding airline fly consider flying cathay pacific airways
348,nice good service many channels available dont like old aircrafts a330300 boeing 772 old seats old tv sets
349,everything else ok meals good bathrooms clean staff friendly
350,flew sydhkgpek december time delay back syd february delayed 30 minutes
352,seat comfortable inflight entertainment ok
