,Sentence
500,manchester christchurch via dubai 773er economy best economy food plane
501,frequent flyers excellent coupled great crews entertainment system made great flight
502,trip back auckland two a380s business good attentive crews usual level service befitting excellent product
503,please keep good work food
504,addis lebanon crew awful
505,considering flying business class little service definitely worth price paid
506,food good variety dishes
507,inflight entertainment good
508,cabin crew friendly flight smooth
509,board wifi also good seats comfortable
510,travelled brisbane dublin return excellent service round except business class lounge abu dhabi seem big enough accommodate number passengers stop
511,although trip long staff food good one bone contention hard seats uncomfortable made flight taipei london endurance test rather part enjoyable holiday experience
512,excellent service round
513,spotless planes excellent service smiling crew could enough assist
514,entertainment options adequate food good
515,enjoyed time pleasant flight sydney nadi
516,attentive staff stayed circulating disappearing meal service like many others
517,flew singapore helsinki early june plane older comfortable a340 entertainment system video demand pretty basic aircrew good attentive return trip mid july younger a340 good entertainment system made trip pass quite quickly aircrew also friendly attentive
518,flew perth singapore helsinki couple days beautiful helsinki 2 hour ferry tallinn flew copenhagen really relaxing stress free way europe recommend everyone beats long haul flight hassle heathrow long shot
519,wonderful flight bangkok budapest
520,food good seat comfortable service excellent
521,penanglangkawi atr flight time crew worked excellent together flight attendants cheerfully serving orange juice water 20 minute flight
522,good experience
523,✅ trip verified flew belfast city airport aberdeen flybe found experience quite good check belfast baggage collection aberdeen
524,boarding process orderly seats comfortable
525,overall good service price paid
526,first time flown flybe delayed travelling belfast city manchester
527,web statistics state flight landed 3 hours 5 minutes delayed flybe state flight landed 5 minutes within 3 hours counting time plane hit runway
528,read many bad reviews airline felt although flight sou egc end june least add positive one
529,wife wheelchair bound southampton bergerac staff could helpful able take aircraft steps airports
530,flights ways time
531,use airline approx 50 times year seems though approx 80 flights delayed normally belfast newcastle
532,good enough service flying appalling delays almost every trip
533,booked aberdeen birmingham day return early flight late afternoon back bike show
534,shortly booking changed flights 2 hours later outbound flight hour late leaving return flight almost 3 hours late
535,2 people managed get plane cabin staff aware baggage removed identified
536,customer service vocabulary
537,wife flew luton jersey back last week using flybe first time impressed polite helpful staff check cabin staff also punctual time flights
538,aircraft dash 800 comfortable little noisy propeller driven aircraft
539,delayed 3 hours manchester southampton got £5 meal voucher bought sandwich enough drink well
540,eventually plane even complimentary drink
541,flights delayed whilst aberdeen flight got cancelled
542,second time flying route second time plane delayed hour
543,flew month ago plane delayed three hours
544,also flew trenton charlotte past year delayed two three hours
545,flight delayed weight issues plane
546,taken nice seats directv entertainment system put smaller narrower seats fit passengers
547,also informed one flight attendants planes going seats replaced longer offer directv service
