,cluster
2251,14
2252,3
2253,2
2254,15
2255,10
2256,9
2257,10
2258,10
2259,10
2260,0
2261,10
2262,10
2263,9
2265,7
2266,9
2267,9
2268,3
2269,15
2270,10
2271,10
2272,10
2273,0
2274,2
2275,9
2276,9
2277,12
2278,0
2279,10
2280,4
2281,0
2282,9
2283,0
2284,9
2285,3
2286,10
2287,16
2288,0
2289,2
2290,12
2291,0
2292,6
2293,10
2294,3
2295,10
2296,9
2297,0
2298,10
2299,8
2300,10
2301,15
2302,10
2303,9
2304,9
2305,8
2306,9
2307,0
2308,10
2309,10
2310,0
2311,0
2312,9
2313,9
2314,9
2315,9
2316,9
2317,9
2318,9
2319,9
2320,8
2321,9
2322,0
2323,4
2324,6
2325,10
2326,10
2327,7
2328,3
2329,10
2330,9
2331,14
2332,12
2333,6
2334,10
2335,9
2336,9
2337,10
2338,10
2339,12
2340,11
2341,11
2342,5
2343,9
2344,12
2345,6
2346,0
2347,10
2348,0
2349,9
2350,7
2351,10
2352,10
2353,10
2355,9
2356,6
2357,14
2358,1
2359,6
2360,10
2361,0
2362,9
2363,12
2364,13
2365,10
2366,8
2367,9
2368,13
2369,10
2370,10
2371,16
2373,10
2374,10
2375,13
2376,7
2377,3
2378,0
2379,10
2380,12
2381,0
2382,0
2383,13
2384,0
2385,7
2386,5
2387,0
2388,10
2389,10
2390,10
2391,0
2392,7
2393,0
2394,10
2395,4
2396,13
2397,0
2398,10
2399,12
2400,10
2401,10
2402,10
2403,11
2404,10
2405,10
2406,9
2407,15
2408,6
2409,12
2411,9
2412,10
2413,0
2414,15
2416,0
2417,9
2418,9
2419,13
2420,10
2421,8
2422,0
2423,5
2424,0
2425,14
2426,10
2427,7
2428,4
2429,0
2430,9
2431,12
2432,9
2433,6
2434,9
2436,0
2437,9
2438,10
2439,8
2440,3
2441,12
2442,10
2443,9
2444,0
2445,0
2446,3
2447,10
2448,3
2449,15
2450,12
2451,2
2452,8
2453,13
2454,9
2455,9
2456,10
2457,0
2458,11
2459,9
2460,10
2461,10
2462,0
2463,1
2464,10
2465,10
2466,10
2467,0
2468,10
2469,8
2470,9
2471,6
