,data_clean
394,onboard cabin clean seat comfortable food excellent good service cabin crew polite manner smile face
395,verify review china southern airline guangzhou sydney great airline terrific staff
396,fly china southern time come away fully satisfied happy experience
397,book check helpful polite cabin crew airline flight joy
398,long haul flight dread read early review
399,flight lhr syd china southern airline great lovely helpful staff food fussy eater entertainment good
400,seat economy pretty cramp want good economy pay
401,travel perth 25th june china southern airline excellent service cabin staff
402,choice food entertainment good long journey staff polite
403,travel business class guangzhou apr cz327 seat comfortable good range movie select food drink good staff friendly
404,travel business class guangzhou sydney seat comfortable good range movie select food drink good good service
405,service seating cabin staff good leg flight london late june 2013
406,flight guangzhou old plane unfortunately lay flat bed type passable comfortable lie flat bed guangzhou london flight food refreshment good excellent look forward return trip day time china southern feel sure happy experience
407,boe 737 700 ashgabat urumqi seat dirty inflight entertainment staff speak poor english want reply ask
408,urumqi beijing boe 777 200 story staff want speak english poor quality food dirty seat
409,flight service okay seat avro r85 narrow legroom small plane acceptable uncomfortable
410,great service fair price attentive crew convenient time save antwerp airport lcy return
411,trip verify recent travel durban johannesburg sunday 14th july 2019 disappointing welcome aboard rude flight attendant
412,fra mba fra seating business class okay charter competitor good
413,personal inflight entertainment screen bulkhead
414,good choice meal good selection wine
415,crew friendly professional
416,pleasant staff decent food space carrier advance online ability check menu print duplication reversal hand business
417,copa offer excellent service business class lax gig panama
418,upgrade return lax coach service good good airline
419,offer good service good price
420,travel year panama city los angele business cabin perfect
421,flight attendant helpful friendly
422,catering good offer wide selection food good selection drink
423,verify old boe 747 aircraft clean legroom
424,entertainment average airline value money pay
425,pay round trip hour flight amazing island reunion 630 good price complain
426,corsair offer solid product food bad board airline offer high rate serve bad food
427,clean plane good friendly service offer drink flight include wine
428,fly gatwick zagreb modern new fleet aircraft 2nd april good flight good leg room meal tasty free wine coffee soft drink welcome
429,return leg zagreb heathrow week later fly old plane extremely good leg room courteous staff tasty meal free drink inflight entertainment travelog croatia play overhead screen
430,prg gva worth flight time drink serve time hour flight
431,new aircraft nice entertainment money
432,delta air line flight time ams atl boe 747 400
433,cabin crew friendly helpful cheerful
434,entertainment nice big selection movie
435,pretty calm flight consider flight completely flight attendant quick professional
436,flight delay hour atl mex boe 737 700
437,hour flight entertainment seat food flight attendant friendly cheerful
438,fly delta air line new york manchester august wonderful flight couldn fault
439,seat comfortable inflight entertainment want food great staff excellent
440,purser flight great care
441,comfort plus nearly worth upgrade fee seat poor leg room good
442,baggage delay hour insincere apology online folk
443,staff great
444,cdg ord march week later flight leave time plenty food decent inflight entertainment great choice international movie fly
445,good flight dus lax transfer atl
446,service flight good meal inner usa flight free
447,cdg min dfw great service nice staff manage luggage hour connection plane min
448,fly chongq hong kong flight smoothly excellent catering good crew
449,a320 seating look bit worn good experience
450,hong kong beij flight delay min
451,seat comfortable food great
452,personal television screen
453,fly oil rig time poor frustrating service
454,eastern airway consistently late tell
455,hope airline come aberdeen provide professional service price eastern airway charge embarrassed service
456,usual easyjet flight time reasonable refreshment available pleasant staff seat bit hard couple hour
457,poor instruction ground crew unhelpful cabin crew distasteful unprofessional pay price pay far normal schedule fare look time
458,good clean aircraft
459,flight schedule time crew member attitude safety instruction bad
460,recommend easyjet lucrative pricing short haul offering time flight reasonably new aircraft
461,ask board milan malpensa leave hot stuffy jetway minute wasn error happen week later easyjet flight milan obviously convenience staff comfort passenger
462,good flight comfortable seat space good service meal
463,trip verify berlin cairo excellent airline fast check smooth boarding charming flight attendant good food quality quantity choice chicken beef fish ife overhead screen music channel good hour flight
464,flight 735 cairo istanbul boe 737 800 fine entertainment
465,food good crew wasn bad come ist cairo crew bad entertainment non existent unlike airline
466,check fine
467,boarding bad
468,trip cai dxb economy class trip time arrive min earlier schedule time
469,food beverage good inflight entertainment excellent
470,ruh cai dme moscow excellent value money nice transfer hall cairo airport good price duty free shop friendly staff service
471,cai bom economy fly b737 800 6hr overnight flight extremely uncomfortable fact manage seat lay manage 4hrs sleep
472,ife ancient overhead monitor food horrible staff surly want
473,seat narrow uncomfortable leg room flight new york tel aviv 777 jet
474,food good airline food service good
475,ewr tlv b777 business class fantastic staff good food
476,business class seat comfortable hour flight tlv jfk old 747 business class
477,food good nice staff nice lounge newark tlv
478,
479,old aircraft clean
480,service great hour flight caramel juice
481,staff professional friendly thorough safety regulation
482,good flight bangkok dubai emirate excellent flight dubai birmingham
483,lounge dubai quiet great breakfast offering
484,crew dxb bhx excellent attentive service food wine quality
485,inflight entertainment good
486,dalla dubai return october 2015 emirate bad flight
487,seat cramp poor service filthy bathroom child entire flight
488,great hope airline exceptional exceptionally bad
489,delay emirate overall decent experience flight munich hong kong dubai
490,good food option leg nice entertainment
491,seat comfortable lot leg room
492,small cramp seat seat configaration 3x4x3 tight
493,food great plane food service great entertainment great future flight win emirate need little room long haul
494,fly economy lgw cabin crew excellent
495,seat 777 lgw dub dub cramp 3x4x3 config
496,a380 fault great service flight
497,auckland dubai lhr economy connect flight lhr delay dubai 1hr explanation ground staff fact appear unprofessional aircraft adequate response captain explanation
498,coincidence leg heathrow dubai delay exactly week earlier wonder scheduling problem
499,a380 huge aircraft size come big logistic cabin crew particularly attentive water long flight offer infrequently service near service asiana airline auckland year earlier
500,manchester christchurch dubai 773er economy good economy food plane
501,frequent flyer excellent couple great crew entertainment great flight
502,trip auckland a380 business good attentive crew usual level service befit excellent product
503,good work food
504,addi lebanon crew awful
505,consider fly business class little service definitely worth price pay
506,food good variety dish
507,inflight entertainment good
508,cabin crew friendly flight smooth
509,board wifi good seat comfortable
510,travel brisbane dublin return excellent service round business class lounge abu dhabi big accommodate number passenger stop
511,trip long staff food good bone contention hard seat uncomfortable flight taipei london endurance test enjoyable holiday experience
512,excellent service round
513,spotless plane excellent service smile crew assist
514,entertainment option adequate food good
515,enjoy time pleasant flight sydney nadi
516,attentive staff stay circulate disappear meal service like
517,fly singapore helsinki early june plane old comfortable a340 entertainment video demand pretty basic aircrew good attentive return trip mid july young a340 good entertainment trip pass quickly aircrew friendly attentive
518,fly perth singapore helsinki couple day beautiful helsinki hour ferry tallinn fly copenhagen relaxing stress free way europe recommend beat long haul flight hassle heathrow long shot
519,wonderful flight bangkok budapest
520,food good seat comfortable service excellent
521,penang langkawi atr flight time crew work excellent flight attendant cheerfully serve orange juice water minute flight
522,good experience
523,trip verify fly belfast city airport aberdeen flybe experience good check belfast baggage collection aberdeen
524,boarding process orderly seat comfortable
525,overall good service price pay
526,time fly flybe delay travel belfast city manchester
527,web statistic state flight land hour minute delay flybe state flight land minute hour count time plane hit runway
528,read bad review airline feel flight sou egc end june add positive
529,wife wheelchair bind southampton bergerac staff helpful able aircraft step airport
530,flight way time
531,use airline approx time year approx flight delay normally belfast newcastle
532,good service flying appalling delay trip
533,book aberdeen birmingham day return early flight late afternoon bike
534,shortly book change flight hour later outbound flight hour late leave return flight hour late
535,people manage plane cabin staff aware baggage remove identify
536,customer service vocabulary
537,wife fly luton jersey week use flybe time impressed polite helpful staff check cabin staff punctual time flight
538,aircraft dash 800 comfortable little noisy propeller drive aircraft
539,delay hour manchester southampton meal voucher buy sandwich drink
540,eventually plane complimentary drink
541,flight delay whilst aberdeen flight cancel
542,second time fly route second time plane delay hour
543,fly month ago plane delay hour
544,fly trenton charlotte past year delay hour
545,flight delay weight issue plane
546,nice seat directv entertainment small narrow seat fit passenger
547,inform flight attendant plane seat replace longer offer directv service
548,trip verify happy chose garuda airline tokyo bali plane new seat comfortable lot space economy class
549,good service cabin crew nice smile fast need
550,small plane think uncomfortable comfortable flight
551,ife short flight plane crj100 seat configuration legroom great headr comfy snack delicious bread chocolate water
552,service airport smooth fast cabin crew nice
553,delay upg minute great trip garuda
554,ga342 sub dps nice flight good service comfortable
555,b737 800ng toilet clean nice facility friendly crew comfortable fly
556,cgk hkg return a330 200 cabin crew helpful nice meal good size small
557,thing need improve avod movie date 2010 flight path good
558,germanwing late offer bad service
559,possible ground staff anouncement late departure late arrival airplane minute official boarding time
560,plane come possible pilot contact ground staff point destination minute leave delay time onwards possible calculate clearly plane arrive
561,flight time book smart fare extra legroom seat snack drink hold luggage good price
562,cabin clean comfortable seat plenty legroom tall
563,efficient pleasant cabin crew
564,germanwing manchester cologne 21st october return 28th october time airline satisfied definitely recommend friend flight time staff helpful
565,trip verify use travel delhi mumbai week experience goair bad
566,service good ground service bad
567,open gate late flight delay
568,air late night flight goa mumbai
569,flight delay hour mumbai a.m.
